book name,author,year of publish,publisher
Pride and Prejudice,Jane Austen,1813,Thomas Egerton
To Kill a Mockingbird,Harper Lee,1960,J.B. Lippincott & Co.
The Great Gatsby,F. Scott Fitzgerald,1925,Charles Scribner's Sons
The Catcher in the Rye,J.D. Salinger,1951,Little Brown and Company
The Alchemist,Paulo Coelho,1988,Rocco
The Lord of the Rings,J.R.R. Tolkien,1954,George Allen & Unwin
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Pan Books
The Bible,Various,1st century,Various
The Quran,Various,7th century,Various
The Book of Mormon,Joseph Smith,1830,Smith Family
The Iliad,Homer,8th century BC,Ancient Greece
The Odyssey,Homer,8th century BC,Ancient Greece
The Aeneid,Virgil,29 BC,Ancient Rome
One Hundred Years of Solitude,Gabriel García Márquez,1967,Harper & Row
Moby-Dick,Herman Melville,1851,Richard Bentley
The Divine Comedy,Dante Alighieri,1320,Dante Alighieri
The Canterbury Tales,Geoffrey Chaucer,1387,Geoffrey Chaucer
Don Quixote,Miguel de Cervantes,1605,Francisco de Robles
Ulysses,James Joyce,1922,Sylvia Beach
To the Lighthouse,Virginia Woolf,1927,Hogarth Press
The Great Expectations,Charles Dickens,1861,Chapman & Hall
The Picture of Dorian Gray,Oscar Wilde,1890,Ward Lock & Co.
The Brothers Karamazov,Fyodor Dostoevsky,1880,The Russian Messenger
Anna Karenina,Leo Tolstoy,1878,The Russian Messenger
War and Peace,Leo Tolstoy,1869,The Russian Messenger
Madame Bovary,Gustave Flaubert,1857,A. Fontaine
Wuthering Heights,Emily Brontë,1847,Thomas Cautley Newby
Frankenstein,Mary Shelley,1818,Lackington Hughes Harding Mavor & Jones
Dracula,Bram Stoker,1897,Archibald Constable and Company
The Time Machine,H.G. Wells,1895,William Heinemann
Heart of Darkness,Joseph Conrad,1899,William Blackwood and Sons
The Island of Dr. Moreau,H.G. Wells,1896,William Heinemann
The War of the Worlds,H.G. Wells,1898,William Heinemann
The Invisible Man,H.G. Wells,1897,William Heinemann
The Island of Dr. Moreau,H.G. Wells,1896,
Jane Eyre,Charlotte Brontë,1847,Smith Elder & Co.
To Kill a Mockingbird,Harper Lee,1960,J. B. Lippincott & Co.
One Hundred Years of Solitude,Gabriel García Márquez,1967,Editorial Sudamericana
The Great Gatsby,F. Scott Fitzgerald,1925,Charles Scrib
The Grapes of Wrath,John Steinbeck,1939,Viking Press
The Old Man and the Sea,Ernest Hemingway,1952,Charles Scribner's Sons
The Count of Monte Cristo,Alexandre Dumas,1844,Henry Colburn
Gulliver's Travels,Jonathan Swift,1726,Bernard Lintot
The Iliad,Homer,8th century BC,
The Odyssey,Homer,8th century BC,
The Divine Comedy,Dante Alighieri,1320,
The Canterbury Tales,Geoffrey Chaucer,14th century,
The Picture of Dorian Gray,Oscar Wilde,,
Emma,Jane Austen,1815,John Murray
Sense and Sensibility,Jane Austen,1811,Thomas Egerton
The Hunchback of Notre Dame,Victor Hugo,1831,Librairie de Charles Gosselin
Les Misérables,Victor Hugo,1862,Librairie de Charles Gosselin
